playerID,birthYear,nameGiven,weight,height,bats,throws
ansonca01,1852,Adrian Constantine,227,72,R,R
anthoer01,1967,Eric Todd,195,74,L,L
antoljo01,1916,Joseph,185,72,R,R
antonbi01,1927,William James,185,71,R,R
antonjo01,1915,John Lawrence,165,70,R,R
antonjo02,1930,John August,185,73,L,L
antonma01,1985,Matthew Antonio,195,73,R,R
aokino01,1982,Norichika,180,69,L,R
aparilu01,1934,Luis Ernesto,160,69,R,R
apodabo01,1950,Robert John,170,71,R,R
apontlu01,1953,Luis Eduardo,185,72,R,R
appieke01,1967,Robert Kevin,180,74,R,R
appleed01,1892,Edward Samuel,173,72,R,R
applefr01,1879,Frederick Romaine,180,74,R,R
applepe01,1904,Peter William,180,71,R,R
applilu01,1907,Lucius Benjamin,183,70,R,R
aquingr01,1978,Gregori Emilio,190,73,R,R
aquinlu01,1964,Luis Antonio,155,72,R,R
aragoan01,1890,Angel,150,65,R,R
aragoja01,1915,Angel Valdes,176,70,R,R
araujel01,1991,Elvis Alejandro,270,79,L,L
archdma01,1898,Maurice John,153,68,L,L
archech01,1988,Christopher Alan,190,75,R,R
archefr01,1910,Frederick Marvin,193,72,L,L
archeji01,1883,James Patrick,168,70,R,R
archeji02,1932,James William,190,72,R,L
archige01,1914,George Albert,170,72,R,R
arciajo01,1943,Jose Raimundo,170,75,R,R
arciaos01,1991,Oswaldo Celestino,225,72,L,R
ardelda01,1941,Daniel Miers,190,74,L,L
ardizru01,1919,Rinaldo Joseph,180,71,R,R
ardnejo01,1858,Joseph A.,160,,R,R
ardoida01,1974,Daniel Wayne,205,72,R,R
arellfr01,1882,Frank Julian,180,72,R,R
arenano01,1991,Nolan James,205,74,R,R
arencjp01,1986,Jonathan Paul,205,72,R,R
arftha01,1922,Henry Irven,190,70,L,L
ariasal01,1967,Alejandro,185,75,R,R
ariasal02,1983,Alberto A.,155,71,R,R
ariasge01,1972,George Alberto,190,71,R,R
ariasjo01,1984,Joaquin,165,73,R,R
ariasru01,1931,Rodolfo,165,70,L,L
arletbu01,1899,Russell Loris,225,75,B,R
arlicdo01,1943,Donald Louis,185,74,L,L
arlinst01,1945,Stephen Ralph,195,75,R,R
armasma01,1969,Marcos Rafael,190,77,R,R
armasto01,1953,Antonio Rafael,182,71,R,R
armasto02,1978,Antonio Jose,205,76,R,R
armbrch01,1880,Charles Anthony,180,69,R,R
armbred01,1948,Edison Rosanda,160,71,R,R
armbrha01,1882,Harry Gregory,190,70,L,L
armbror01,1908,Orville Martin,195,70,R,R
armoubi99,1869,William Reginald,,,,
armstbo01,1850,Robert,160,74,,
armstge01,1924,Noble George,190,70,R,R
armstho01,1889,Howard Elmer,165,69,R,R
armstja01,1965,Jack William,220,77,R,R
armstmi01,1954,Michael Dennis,193,75,R,R
armstsh01,1990,Shawn Michael,225,74,R,R
arndtha01,1879,Harry John,165,,R,R
arndtla01,1963,Larry Wayne,195,73,R,R
arnolbi01,1851,Willis S.,,,,
arnolch01,1947,Christopher Paul,160,70,R,R
arnolja01,1974,James Lee,190,74,R,R
arnolsc01,1962,Scott Gentry,210,74,R,R
arnolto01,1959,Tony Dale,170,71,R,R
arnovmo01,1910,Morris,168,70,R,R
arnsbbr01,1963,Bradley James,205,76,R,R
arntzor01,1909,Orie Edgar,200,73,R,R
arochre01,1964,Rene,180,72,R,R
arojo01,1990,Jonathan Arturo,235,72,R,R
arredjo01,1984,Jose Juan,190,72,R,R
arrieja01,1986,Jacob Joseph,225,76,R,R
arrigge01,1941,Gerald William,185,73,L,L
arrojro01,1968,Luis Rolando,215,76,R,R
arroybr01,1977,Bronson Anthony,185,75,R,R
arroyfe01,1952,Fernando,180,74,R,R
arroylu01,1927,Luis Enrique,178,68,L,L
arroyru01,1950,Rudolph,195,74,L,L
arrueer01,1990,Barbaro Erisbel,230,73,R,R
arundha01,1855,Harry,145,66,,R
arundtu01,1862,John Thomas,175,70,R,R
asadora01,1962,Randall Carl,185,73,R,R
asbelji01,1914,James Marion,195,72,R,R
asbjoca01,1909,Robert Anthony,196,73,R,R
ascanjo01,1985,Jose Eleazar,195,71,R,R
ascheco01,1990,Cody James,200,73,L,R
asencmi01,1980,Miguel,190,74,R,R
ashburi01,1927,Don Richard,170,70,L,R
ashbyal01,1951,Alan Dean,185,74,B,R
ashbyan01,1967,Andrew Jason,180,73,R,R
asheral01,1991,Alec Edward,230,76,R,R
ashfotu01,1954,Thomas Steven,195,73,R,R
ashke01,1901,Kenneth Lowther,165,71,R,R
ashlebi01,1970,Billy Manual,220,79,R,R
ashlene01,1984,Nevin Robert,215,73,R,R
asmusto01,1878,Thomas William,,71,,R
asprobo01,1938,Robert Thomas,170,74,R,R
asproke01,1931,Kenneth Joseph,180,72,R,R
asselbr01,1953,Brian Hanly,175,73,L,R
assenpa01,1960,Paul Andre,195,75,L,L
astacez01,1979,Ezequiel F.,200,75,R,R
astacpe01,1968,Pedro Julio,174,74,R,R
astrojo01,1922,Joseph Henry,187,69,R,R
atchisc01,1976,Scott Barham,200,74,R,R
atchlju01,1973,Justin Scott,215,75,L,L
atherch01,1873,Charles Morgan Herbert,160,70,R,R
atherke01,1959,Keith Rowe,200,76,R,R
atilalu01,1985,Luis A.,220,74,R,R
atkinal01,1861,Albert Wright,165,71,R,R
atkinbi01,1954,William Cecil Glenn,165,67,L,R
atkined01,1851,Edward,,,,
atkinga01,1979,Garrett Bernard,190,74,R,R
atkinja01,1921,James Curtis,205,75,L,R
atkinle01,1904,Hubert Burley,149,66,L,L
atkinmi01,1985,Mitchell Shane,225,76,R,R
atkinto01,1887,Francis Montgomery,165,70,L,L
attredi01,1897,Richard Gilbert,160,72,L,L
atwelto01,1924,Maurice Dailey,185,69,L,R
atwoobi01,1911,William Franklin,190,71,R,R
atzja01,1879,Jacob Henry,160,69,R,R
aubreha01,1881,Harry Herbert,130,67,R,R
aubremi01,1982,Robert Michael,190,72,L,L
aucoide01,1970,Derek Alfred,235,79,R,R
auderi01,1971,Richard Thomas,180,77,R,R
auerbri01,1950,Frederick Steven,165,72,R,R
augenbr01,1986,Bryan Christopher,230,78,R,R
augusda01,1949,David Ralph,174,74,R,R
augusdo01,1963,Donald Glenn,190,75,R,R
augusje01,1952,Gerald Lee,183,72,L,L
aukerel01,1910,Elden LeRoy,194,74,R,R
auldsle01,1920,Leycester Doyle,185,74,R,R
aultdo01,1950,Douglas Reagan,200,75,R,L
aumonph01,1989,Phillippe,240,79,L,R
aurilri01,1971,Richard Santo,170,72,R,R
ausanjo01,1965,Joseph John,205,73,R,R
ausmubr01,1969,Bradley David,190,71,R,R
austde01,1940,Dennis Kay,180,71,R,R
austihe01,1844,Henry C.,,,,
austije01,1976,Jeffrey Wellington,185,72,R,R
austiji01,1879,James Philip,155,67,B,R
austiji02,1963,James Parker,200,74,R,R
austiri01,1946,Rick Gerald,190,76,R,L
autryal01,1952,Albert,225,77,R,R
autrych01,1885,William Askew,168,71,L,L
autrych02,1903,Martin Gordon,180,72,R,R
avenbr01,1972,David Bruce,180,69,R,R
averiea01,1902,Howard Earl,172,69,L,R
averiea02,1931,Earl Douglas,185,70,R,R
averyst01,1970,Steven Thomas,180,76,L,L
averyxa01,1990,Xavier Tyrone,190,72,L,L
avilaal01,1987,Alexander Thomas,210,71,L,R
avilabo01,1924,Roberto Francisco,175,70,R,R
avilalu01,1989,Luis Armando,220,74,L,L
avilemi01,1981,Michael Anthony,205,70,R,R
avilera01,1952,Ramon Antonio,155,69,R,R
avreaja01,1920,James Epherium,175,73,R,R
axelrdy01,1985,Dylan Davis Haines,185,72,R,R
axforjo01,1983,John Berton,220,77,R,R
ayalabe01,1951,Benigno,185,73,R,R
ayalabo01,1969,Robert Joseph,190,74,R,R
ayalalu01,1978,Luis Ignacio,205,74,R,R
aybarer01,1984,Erick Johan,180,70,B,R
aybarma01,1972,Manuel Antonio,165,73,R,R
aybarwi01,1983,Willy Del Jesus,205,71,B,R
aydelja01,1861,Jacob Stuart,180,72,L,R
ayersbi01,1919,William Oscar,185,75,R,R
ayersdo01,1891,Yancey Wyatt,185,73,R,R
aylwadi01,1925,Richard John,190,72,R,R
ayraubo01,1966,Robert Cunningham,230,76,R,R
ayraujo01,1971,Joseph Allen,190,75,R,R
azcuejo01,1939,Jose Joaquin,190,72,R,R
azocaos01,1965,Oscar Gregorio,170,73,L,L
babbch01,1873,Charles Amos,165,70,B,R
babcobo01,1949,Robert Ernest,210,77,R,R
babelo01,1928,Loren Rolland,180,70,L,R
babicjo01,1913,John Charles,185,73,R,R
babinch01,1895,Charles Percy,170,72,R,R
babitsh01,1959,Mack Neal,174,68,R,R
backebr01,1978,Brandon Allen,182,72,R,R
backmle01,1888,Lester John,195,72,R,R
backmwa01,1959,Walter Wayne,160,69,B,R
baconed01,1895,Edgar Suter,,,,
bacsimi01,1952,Michael James,180,74,R,R
bacsimi02,1977,Michael Joseph,225,74,L,L
baczefr01,1926,Frederic John,185,74,L,L
badenbu01,1983,Burke Heinrich,210,77,R,R
baderar01,1886,Arthur Herman,170,70,R,R
baderlo01,1888,Lore Verne,175,72,L,R
badgrre01,1902,Morris Hiram,190,72,L,R
